title,author,price,rating_raw,length_raw
The Social Media Marketing Blueprint,Mark Hrvatin,$5.99or free with 30-day trial,4.52 ratings,Length: 3 hrs and 39 mins
The Book,Keith Houston,$20.56or free with 30-day trial,4.526 ratings,Length: 9 hrs and 58 mins
"CIA MIND SCIENCE, CODES & CIPHERS",Eric Engle,$14.99or free with 30-day trial,3.48 ratings,Length: 6 hrs and 19 mins
I Am a Strange Loop,Douglas R Hofstadter,$35.09or free with 30-day trial,4.2417 ratings,Length: 16 hrs and 47 mins
The Art of Game Design (3rd Edition),Jesse Schell,$32.20or free with 30-day trial,Not rated yet,Length: 22 hrs and 45 mins
Broke to Billionaire,Brandon Chan,$9.99or free with 30-day trial,4.01 rating,Length: 4 hrs and 48 mins
AI Stock Options for Beginners,Angel Talamantes,$14.95or free with 30-day trial,Not rated yet,Length: 3 hrs and 24 mins
Mastering Prompting,Elliott Middleton PhD,$4.99or free with 30-day trial,4.015 ratings,Length: 2 hrs and 29 mins
n8n BOOK FOR BEGINNERS,Arsath Natheem S,$4.99or free with 30-day trial,Not rated yet,Length: 6 hrs and 40 mins
Software Engineering at Google,"Titus Winters,Tom Manshreck,Hyrum Wright",$32.20or free with 30-day trial,4.6217 ratings,Length: 23 hrs and 36 mins
The Beginners Guide to Podcasting 2026,Karen Noil,$8.99or free with 30-day trial,Not rated yet,Length: 3 hrs and 25 mins
The Last Book Written by a Human,Jeff Burningham,$17.31or free with 30-day trial,5.014 ratings,Length: 5 hrs and 39 mins
ChatGPT Anthology: 5 Books in 1,Ryan Lee,$22.66or free with 30-day trial,4.8122 ratings,Length: 13 hrs and 30 mins
The Idea Machine,Joel J. Miller,$19.10or free with 30-day trial,4.02 ratings,Length: 8 hrs and 34 mins
Claude AI Comprehensive Guide: Transform Your Business With AI Automation & AI Agents,Practicing Engineers Network,$5.99or free with 30-day trial,1.01 rating,Length: 5 hrs and 37 mins
CompTIA Security+ SY0-701 Study Guide,Shawn Walker,$14.99or free with 30-day trial,2.86 ratings,Length: 5 hrs and 53 mins
How to Create and Grow a Successful YouTube Channel 2026,Karen Noil,$7.99or free with 30-day trial,2.01 rating,Length: 2 hrs and 24 mins
Zero to AI Hero,Mo Rousso,$14.99or free with 30-day trial,Not rated yet,Length: 10 hrs and 5 mins
Write Books Using AI,George Sranko,$14.99or free with 30-day trial,Not rated yet,Length: 5 hrs and 2 mins
Code Red,Wynton Hall,$23.39or free with 30-day trial,4.410 ratings,Length: 8 hrs and 20 mins
